IncidentNumber,DateOfCall,CalYear,TimeOfCall,HourOfCall,IncidentGroup,StopCodeDescription,SpecialServiceType,PropertyCategory,PropertyType,AddressQualifier,Postcode_full,Postcode_district,UPRN,USRN,IncGeo_BoroughCode,IncGeo_BoroughName,ProperCase,IncGeo_WardCode,IncGeo_WardName,IncGeo_WardNameNew,Easting_m,Northing_m,Easting_rounded,Northing_rounded,Latitude,Longitude,FRS,IncidentStationGround,FirstPumpArriving_AttendanceTime,FirstPumpArriving_DeployedFromStation,SecondPumpArriving_AttendanceTime,SecondPumpArriving_DeployedFromStation,NumStationsWithPumpsAttending,NumPumpsAttending,PumpCount,PumpMinutesRounded,Notional Cost (£),NumCalls
070350-19052023,2023-05-19,2023,22:13:59,22,False Alarm,AFA,,Non Residential,Cinema ,Within same building,TW3 1EL,TW3,10094942061,21520066,E09000018,HOUNSLOW,Hounslow,E05013620,HOUNSLOW CENTRAL,HOUNSLOW CENTRAL,513876.0,175843.0,513850,175850,51.4701088,-0.3618721,London,Heston,190.0,Heston,658.0,Feltham,2.0,2.0,2,61,394,1.0
098743-03072023,2023-07-03,2023,23:11:01,23,Fire,Secondary Fire,,Outdoor,Loose refuse ,On land associated with building,N12 0PD,N12,200150924,20041420,E09000003,BARNET,Barnet,E05013651,WOODHOUSE,WOODHOUSE,526663.0,191225.0,526650,191250,51.6056303921,-0.1723403877,London,Finchley,266.0,Finchley,334.0,Finchley,1.0,2.0,2,60,388,2.0
100259-06072023,2023-07-06,2023,17:11:09,17,False Alarm,AFA,,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Within same building,,HA7,0,21201008,E09000015,HARROW,Harrow,E05013544,CENTENARY,CENTENARY,,,518150,190650,,,London,Stanmore,142.0,Stanmore,191.0,Stanmore,1.0,2.0,2,60,388,1.0
023212-15022023,2023-02-15,2023,16:42:38,16,False Alarm,AFA,,Non Residential,Leisure Centre ,Correct incident location,W13 0AL,W13,12140887,20602094,E09000009,EALING,Ealing,E05013535,PITSHANGER,PITSHANGER,515840.0,182459.0,515850,182450,51.529169,-0.3314308,London,Ealing,479.0,Southall,,,1.0,1.0,1,60,364,1.0
166433-25102023,2023-10-25,2023,00:50:10,0,Special Service,Special Service,No action (not false alarm),Dwelling,House - single occupancy ,Correct incident location,,E17,0,22832650,E09000031,WALTHAM FOREST,Waltham Forest,E05013893,HOE STREET,HOE STREET,,,537650,188950,,,London,Walthamstow,413.0,Walthamstow,,,1.0,1.0,1,60,388,1.0
027926-25022023,2023-02-25,2023,09:14:39,9,False Alarm,AFA,,Non Residential,Single shop ,Correct incident location,SW1X 9NE,SW1X,217078161,21700497,E09000020,KENSINGTON AND CHELSEA,Kensington And chelsea,E05009389,BROMPTON & HANS TOWN,BROMPTON & HANS TOWN,527805.0,179515.0,527850,179550,51.5001336,-0.1601127,London,Chelsea,325.0,Chelsea,,,1.0,1.0,1,60,364,1.0
048653-08042023,2023-04-08,2023,05:23:28,5,Special Service,Special Service,Assist other agencies,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,SW16,0,21900820,E09000022,LAMBETH,Lambeth,E05014106,KNIGHT'S HILL,KNIGHT'S HILL,,,531150,172350,,,London,West Norwood,129.0,West Norwood,,,1.0,1.0,2,60,388,1.0
144787-18092023,2023-09-18,2023,21:16:25,21,False Alarm,AFA,,Other Residential,Retirement/Old Persons Home,Within same building,W6 0AR,W6,34013351,21000806,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013740,GROVE,GROVE,522929.0,179438.0,522950,179450,51.500522,-0.2303512,London,Hammersmith,235.0,Hammersmith,245.0,Hammersmith,1.0,2.0,2,60,388,1.0
182053-20112023,2023-11-20,2023,12:27:28,12,False Alarm,False alarm - Good intent,,Non Residential,Library ,Correct incident location,SW1Y 6BU,SW1Y,100023349919,8401739,E09000033,WESTMINSTER,Westminster,E05013806,ST. JAMES'S,ST. JAMES'S,529368.0,180368.0,529350,180350,51.5074455827,-0.1372851398,London,Soho,227.0,Soho,628.0,Lambeth,2.0,2.0,2,60,388,2.0
149721-27092023,2023-09-27,2023,08:09:27,8,Fire,Secondary Fire,,Outdoor,Loose refuse ,On land associated with building,N18 1XG,N18,207040141,20704924,E09000010,ENFIELD,Enfield,E05013694,UPPER EDMONTON,UPPER EDMONTON,533269.0,192212.0,533250,192250,51.6129745462,-0.0766260214,London,Edmonton,645.0,Edmonton,,,1.0,1.0,1,60,388,3.0
075010-28052023,2023-05-28,2023,04:24:14,4,False Alarm,AFA,,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Correct incident location,,SW9,0,21900641,E09000022,LAMBETH,Lambeth,E05014096,BRIXTON NORTH,BRIXTON NORTH,,,531450,175550,,,London,Brixton,126.0,Brixton,157.0,Brixton,1.0,2.0,2,60,388,1.0
107826-18072023,2023-07-18,2023,23:53:20,23,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,In street outside gazetteer location,DA14 5HJ,DA14,10025506146,20100560,E09000004,BEXLEY,Bexley,E05011230,SIDCUP,SIDCUP,547402.0,170967.0,547450,170950,51.4185636065,0.1184778959,London,Sidcup,248.0,Sidcup,,,1.0,1.0,1,60,388,1.0
104998-14072023,2023-07-14,2023,09:21:46,9,False Alarm,AFA,,Non Residential,Converted office ,Correct incident location,KT2 7RP,KT2,100023672624,21800556,E09000021,KINGSTON UPON THAMES,Kingston Upon thames,E05013937,KINGSTON GATE,KINGSTON GATE,519729.0,170484.0,519750,170450,51.4207398679,-0.2794556179,London,Kingston,377.0,Kingston,383.0,Kingston,1.0,2.0,2,60,388,1.0
146536-21092023,2023-09-21,2023,15:49:25,15,False Alarm,False alarm - Good intent,,Non Residential,Private Garden Shed ,Correct incident location,,N9,0,20703279,E09000010,ENFIELD,Enfield,E05013685,LOWER EDMONTON,LOWER EDMONTON,,,535050,194050,,,London,Edmonton,510.0,Edmonton,567.0,Tottenham,2.0,2.0,2,60,388,1.0
181841-19112023,2023-11-19,2023,22:50:07,22,False Alarm,AFA,,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Within same building,,NW3,0,20400199,E09000007,CAMDEN,Camden,E05013658,GOSPEL OAK,GOSPEL OAK,,,527650,185550,,,London,Kentish Town,269.0,Kentish Town,447.0,West Hampstead,2.0,2.0,2,60,388,1.0
036071-13032023,2023-03-13,2023,15:32:46,15,False Alarm,AFA,,Dwelling,House - single occupancy ,Within same building,,E14,0,22702055,E09000030,TOWER HAMLETS,Tower Hamlets,E05009324,ISLAND GARDENS,ISLAND GARDENS,,,537450,178650,,,London,Millwall,247.0,Millwall,,,1.0,1.0,1,60,364,1.0
172366-04112023,2023-11-04,2023,11:26:17,11,False Alarm,False alarm - Good intent,,Dwelling,House - single occupancy ,Correct incident location,,DA8,0,20100461,E09000004,BEXLEY,Bexley,E05011217,BARNEHURST,BARNEHURST,,,551350,176650,,,London,Erith,443.0,Erith,,,1.0,1.0,1,60,388,1.0
048143-07042023,2023-04-07,2023,10:20:57,10,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,UB2,0,20600844,E09000009,EALING,Ealing,E05013533,NORWOOD GREEN,NORWOOD GREEN,,,513450,179250,,,London,Southall,264.0,Southall,279.0,Southall,1.0,2.0,2,101,653,1.0
076127-29052023,2023-05-29,2023,19:02:26,19,False Alarm,AFA,,Non Residential,Warehouse ,Within same building,N16 7TX,N16,10008298095,20900933,E09000012,HACKNEY,Hackney,E05009382,SHACKLEWELL,SHACKLEWELL,533617.0,185604.0,533650,185650,51.5535112147,-0.0741209009,London,Stoke Newington,283.0,Stoke Newington,,,1.0,1.0,1,141,912,1.0
001980-05012023,2023-01-05,2023,01:36:49,1,Special Service,Special Service,Other Transport incident,Outdoor,Road surface/pavement ,On land associated with building,E18 2LE,E18,10023189383,22301333,E09000026,REDBRIDGE,Redbridge,E05011252,SOUTH WOODFORD,SOUTH WOODFORD,539530.0,190379.0,539550,190350,51.5949856692,0.0130173516,London,Woodford,667.0,Woodford,,,1.0,1.0,1,60,364,1.0
086966-15062023,2023-06-15,2023,14:37:44,14,False Alarm,AFA,,Dwelling,House - single occupancy ,Correct incident location,,SW10,0,21700557,E09000020,KENSINGTON AND CHELSEA,Kensington And chelsea,E05009402,REDCLIFFE,REDCLIFFE,,,526050,177950,,,London,Chelsea,328.0,Chelsea,334.0,Fulham,2.0,2.0,2,60,388,2.0
116102-02082023,2023-08-02,2023,13:41:35,13,False Alarm,AFA,,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,,SW13,0,22404740,E09000027,RICHMOND UPON THAMES,Richmond Upon thames,E05013774,BARNES,BARNES,,,522350,176950,,,London,Hammersmith,483.0,Wandsworth,531.0,Richmond,2.0,2.0,2,60,388,1.0
130454-27082023,2023-08-27,2023,11:23:45,11,False Alarm,AFA,,Dwelling,Licensed House in Multiple Occupation - Up to 2 storeys ,Within same building,,KT3,0,21800428,E09000021,KINGSTON UPON THAMES,Kingston Upon thames,E05013942,OLD MALDEN,OLD MALDEN,,,520750,167050,,,London,New Malden,273.0,New Malden,,,1.0,1.0,1,60,388,1.0
160315-14102023,2023-10-14,2023,16:50:22,16,Special Service,Special Service,Effecting entry/exit,Non Residential,Petrol station ,Correct incident location,EN3 7UA,EN3,207160391,20702278,E09000010,ENFIELD,Enfield,E05013689,PONDERS END,PONDERS END,536413.0,196205.0,536450,196250,51.64811,-0.029689,London,Enfield,347.0,Enfield,,,1.0,1.0,1,60,388,1.0
088826-18062023,2023-06-18,2023,09:44:43,9,Special Service,Special Service,No action (not false alarm),Dwelling,House - single occupancy ,Correct incident location,,HA8,0,20004020,E09000003,BARNET,Barnet,E05013630,BURNT OAK,BURNT OAK,,,521150,191050,,,London,Mill Hill,265.0,Mill Hill,,,1.0,1.0,1,60,388,1.0
044542-31032023,2023-03-31,2023,04:41:08,4,False Alarm,AFA,,Non Residential,TV/film/music/art studio ,Correct incident location,NW10 7AE,NW10,202131511,20201454,E09000005,BRENT,Brent,E05013510,STONEBRIDGE,STONEBRIDGE,520558.0,183052.0,520550,183050,51.5335127,-0.2632579,London,Park Royal,197.0,Park Royal,,,1.0,1.0,1,60,364,1.0
113143-28072023,2023-07-28,2023,05:27:00,5,False Alarm,AFA,,Non Residential,Bulk oil storage,Correct incident location,NW10 1RZ,NW10,202009207,20200873,E09000005,BRENT,Brent,E05013500,DOLLIS HILL,DOLLIS HILL,521500.0,185399.0,521550,185350,51.5544093165,-0.2488722124,London,Willesden,338.0,Willesden,,,1.0,1.0,1,60,388,1.0
148634-25092023,2023-09-25,2023,10:50:35,10,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,SW6,0,21000509,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013742,LILLIE,LILLIE,,,524850,177750,,,London,Fulham,325.0,Hammersmith,335.0,Kensington,3.0,4.0,4,60,388,1.0
088255-17062023,2023-06-17,2023,13:07:05,13,Fire,Secondary Fire,,Outdoor,Grassland/ pasture/ grazing etc ,Open land/water - nearest gazetteer location,SW16 3JS,SW16,100020646565,20500061,E09000008,CROYDON,Croydon,E05011473,NORBURY PARK,NORBURY PARK,531431.0,170548.0,531450,170550,51.4187248617,-0.1112216089,London,West Norwood,681.0,Tooting,,,1.0,1.0,1,60,388,1.0
070815-20052023,2023-05-20,2023,18:29:49,18,Special Service,Special Service,Advice Only,Dwelling,House - single occupancy ,Correct incident location,,SE22,0,22503115,E09000028,SOUTHWARK,Southwark,E05011097,CHAMPION HILL,CHAMPION HILL,,,533250,175150,,,London,Peckham,,,,,1.0,1.0,1,60,388,1.0
165812-23102023,2023-10-23,2023,20:19:00,20,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Correct incident location,,IG11,0,19900696,E09000002,BARKING AND DAGENHAM,Barking And dagenham,E05014066,NORTHBURY,NORTHBURY,,,543650,184550,,,London,Barking,316.0,Barking,330.0,Barking,4.0,5.0,5,64,414,1.0
133204-01092023,2023-09-01,2023,07:09:12,7,False Alarm,AFA,,Non Residential,Secondary school,Within same building,RM8 1JT,RM8,100089964,19900356,E09000002,BARKING AND DAGENHAM,Barking And dagenham,E05014063,HEATH,HEATH,549215.0,187076.0,549250,187050,51.5628350855,0.1513335967,London,Dagenham,231.0,Dagenham,,,1.0,1.0,1,60,388,2.0
108452-20072023,2023-07-20,2023,02:32:51,2,Special Service,Special Service,No action (not false alarm),Dwelling,House - single occupancy ,Correct incident location,,HA4,0,21401029,E09000017,HILLINGDON,Hillingdon,E05013579,SOUTH RUISLIP,SOUTH RUISLIP,,,511550,186350,,,London,Northolt,475.0,Northolt,,,1.0,1.0,1,60,388,1.0
018693-06022023,2023-02-06,2023,19:03:50,19,False Alarm,False alarm - Good intent,,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Correct incident location,,SW15,0,22901747,E09000032,WANDSWORTH,Wandsworth,E05014017,ROEHAMPTON,ROEHAMPTON,,,522150,173550,,,London,Wandsworth,435.0,Wandsworth,541.0,New Malden,5.0,5.0,5,104,631,2.0
169054-29102023,2023-10-29,2023,16:14:46,16,Fire,Primary Fire,,Dwelling,House in Multiple Occupation - Up to 2 storeys (not known if licensed) ,Correct incident location,,E13,0,22208084,E09000025,NEWHAM,Newham,E05013918,PLAISTOW NORTH,PLAISTOW NORTH,,,541450,183350,,,London,Plaistow,368.0,East Ham,344.0,Stratford,4.0,4.0,5,608,3932,10.0
111183-24072023,2023-07-24,2023,20:54:04,20,Fire,Secondary Fire,,Outdoor,Domestic garden (vegetation not equipment) ,On land associated with building,RM5 3AY,RM5,100021361313,21301005,E09000016,HAVERING,Havering,E05013974,HAVERING-ATTE-BOWER,HAVERING-ATTE-BOWER,550555.0,191562.0,550550,191550,51.6027854889,0.172565666,London,Romford,207.0,Romford,476.0,Harold Hill,2.0,2.0,2,60,388,1.0
159534-13102023,2023-10-13,2023,12:55:03,12,Special Service,Special Service,Spills and Leaks (not RTC),Road Vehicle,Multiple Vehicles ,In street outside gazetteer location,HA8 9SX,HA8,10025287120,20013780,E09000003,BARNET,Barnet,E05013638,EDGWAREBURY,EDGWAREBURY,520632.0,192854.0,520650,192850,51.6215922919,-0.2588173159,London,Mill Hill,334.0,Mill Hill,577.0,Stanmore,2.0,2.0,2,60,388,1.0
035487-12032023,2023-03-12,2023,13:55:23,13,Special Service,Special Service,Medical Incident,Dwelling,House - single occupancy ,Correct incident location,,UB3,0,21400962,E09000017,HILLINGDON,Hillingdon,E05013570,HEATHROW VILLAGES,HEATHROW VILLAGES,,,508650,177750,,,London,Hayes,218.0,Hayes,,,1.0,1.0,1,60,364,1.0
018435-06022023,2023-02-06,2023,11:43:13,11,False Alarm,False alarm - Good intent,,Dwelling,House - single occupancy ,Within same building,,HA8,0,20036200,E09000003,BARNET,Barnet,E05013637,EDGWARE,EDGWARE,,,519350,191950,,,London,Mill Hill,359.0,Stanmore,,,1.0,1.0,2,60,364,1.0
120364-10082023,2023-08-10,2023,01:30:27,1,Special Service,Special Service,Effecting entry/exit,Road Vehicle,Car ,In street outside gazetteer location,SW7 1QH,SW7,100023377821,8401497,E09000033,WESTMINSTER,Westminster,E05013797,KNIGHTSBRIDGE & BELGRAVIA,KNIGHTSBRIDGE & BELGRAVIA,526794.0,179684.0,526750,179650,51.5018868993,-0.1746085909,London,Kensington,208.0,Kensington,,,1.0,1.0,1,60,388,2.0
164706-21102023,2023-10-21,2023,21:29:27,21,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,N17,0,21106680,E09000014,HARINGEY,Haringey,E05013601,TOTTENHAM CENTRAL,TOTTENHAM CENTRAL,,,533650,189650,,,London,Tottenham,153.0,Tottenham,461.0,Stoke Newington,2.0,2.0,2,60,388,2.0
170335-31102023,2023-10-31,2023,22:06:47,22,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,SE5,0,22500423,E09000028,SOUTHWARK,Southwark,E05011096,CAMBERWELL GREEN,CAMBERWELL GREEN,,,532250,176650,,,London,Peckham,,,,,,,1,60,388,1.0
144933-19092023,2023-09-19,2023,05:51:39,5,False Alarm,AFA,,Non Residential,Single shop ,Correct incident location,SE28 8RA,SE28,10010194743,20800827,E09000011,GREENWICH,Greenwich,E05014090,THAMESMEAD MOORINGS,THAMESMEAD MOORINGS,546291.0,180739.0,546250,180750,51.5066571922,0.1065530507,London,Plumstead,391.0,Plumstead,,,1.0,1.0,1,60,388,1.0
050957-12042023,2023-04-12,2023,23:02:47,23,False Alarm,AFA,,Dwelling,Licensed House in Multiple Occupation - 3 or more storeys ,Within same building,,W9,0,8400567,E09000033,WESTMINSTER,Westminster,E05013804,QUEEN'S PARK,QUEEN'S PARK,,,524750,182750,,,London,North Kensington,317.0,North Kensington,321.0,North Kensington,1.0,2.0,2,60,388,1.0
096358-29062023,2023-06-29,2023,23:27:50,23,False Alarm,False alarm - Good intent,,Non Residential,Private Garden Shed ,Correct incident location,,SE23,0,22004082,E09000023,LEWISHAM,Lewisham,E05013729,PERRY VALE,PERRY VALE,,,535850,172450,,,London,Forest Hill,521.0,Lewisham,991.0,Forest Hill,2.0,2.0,2,60,388,1.0
057588-26042023,2023-04-26,2023,10:35:53,10,False Alarm,AFA,,Dwelling,House - single occupancy ,Correct incident location,,W8,0,21700180,E09000020,KENSINGTON AND CHELSEA,Kensington And chelsea,E05009388,ABINGDON,ABINGDON,,,524950,179050,,,London,Kensington,289.0,Kensington,419.0,Hammersmith,2.0,2.0,2,60,388,1.0
116616-03082023,2023-08-03,2023,09:25:38,9,False Alarm,False alarm - Good intent,,Non Residential,Purpose built office ,Correct incident location,SW6 2DL,SW6,34106626,21000861,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013749,WALHAM GREEN,WALHAM GREEN,525582.0,177205.0,525550,177250,51.4798786053,-0.1929288586,London,Fulham,224.0,Fulham,496.0,Kensington,2.0,2.0,2,60,388,1.0
032131-05032023,2023-03-05,2023,18:15:10,18,Special Service,Special Service,Effecting entry/exit,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,SE18,0,20800867,E09000011,GREENWICH,Greenwich,E05014094,WOOLWICH DOCKYARD,WOOLWICH DOCKYARD,,,543050,178950,,,London,East Greenwich,233.0,Plumstead,,,1.0,1.0,1,89,540,1.0
164767-21102023,2023-10-21,2023,23:42:56,23,False Alarm,AFA,,Dwelling,House - single occupancy ,Correct incident location,,UB3,0,21401459,E09000017,HILLINGDON,Hillingdon,E05013582,WOOD END,WOOD END,,,510250,180650,,,London,Hayes,403.0,Hayes,,,1.0,1.0,1,60,388,1.0
170223-31102023,2023-10-31,2023,18:55:26,18,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,SM4,0,22104263,E09000024,MERTON,Merton,E05013811,CANNON HILL,CANNON HILL,,,524750,168650,,,London,Wimbledon,287.0,Wimbledon,,,1.0,1.0,1,60,388,1.0
132283-30082023,2023-08-30,2023,16:47:56,16,Special Service,Special Service,Making Safe (not RTC),Non Residential,Single shop ,Correct incident location,SW1W 8LS,SW1W,10033586651,8400518,E09000033,WESTMINSTER,Westminster,E05013797,KNIGHTSBRIDGE & BELGRAVIA,KNIGHTSBRIDGE & BELGRAVIA,528189.0,178425.0,528150,178450,51.4902557001,-0.1549792252,London,Chelsea,410.0,Lambeth,,,1.0,1.0,1,60,388,1.0
131406-29082023,2023-08-29,2023,08:09:50,8,False Alarm,AFA,,Non Residential,Casino ,Correct incident location,W2 1DS,W2,100023477531,8400919,E09000033,WESTMINSTER,Westminster,E05013796,HYDE PARK,HYDE PARK,527174.0,181614.0,527150,181650,51.5191396,-0.1684417,London,Paddington,239.0,Paddington,,,1.0,1.0,1,60,388,1.0
187233-29112023,2023-11-29,2023,08:41:50,8,Special Service,Special Service,Assist other agencies,Dwelling,House - single occupancy ,Correct incident location,,RM9,0,19900414,E09000002,BARKING AND DAGENHAM,Barking And dagenham,E05014067,PARSLOES,PARSLOES,,,548750,186150,,,London,Dagenham,375.0,Dagenham,,,1.0,1.0,1,60,388,1.0
079570-04062023,2023-06-04,2023,17:03:47,17,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,SE13,0,22001650,E09000023,LEWISHAM,Lewisham,E05013725,LADYWELL,LADYWELL,,,538150,174650,,,London,Lewisham,153.0,Lewisham,412.0,Greenwich,2.0,2.0,2,60,388,1.0
169963-31102023,2023-10-31,2023,10:13:57,10,False Alarm,AFA,,Dwelling,House - single occupancy ,Correct incident location,,BR2,0,20302984,E09000006,BROMLEY,Bromley,E05013998,HAYES & CONEY HALL,HAYES & CONEY HALL,,,540550,166050,,,London,Bromley,477.0,Bromley,519.0,Bromley,1.0,2.0,2,60,388,1.0
095171-27062023,2023-06-27,2023,23:16:10,23,False Alarm,AFA,,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Within same building,,WC1N,0,20401013,E09000007,CAMDEN,Camden,E05013666,KING'S CROSS,KING'S CROSS,,,530750,182250,,,London,Euston,256.0,Soho,444.0,Shoreditch,2.0,2.0,2,60,388,1.0
110121-22072023,2023-07-22,2023,20:14:56,20,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,N19,0,21610080,E09000019,ISLINGTON,Islington,E05013707,JUNCTION,JUNCTION,,,529550,186750,,,London,Kentish Town,,,,,1.0,1.0,1,60,388,1.0
151410-29092023,2023-09-29,2023,22:26:50,22,False Alarm,AFA,,Other Residential,Student Hall of Residence ,Within same building,KT2 6BJ,KT2,128037367,21800310,E09000021,KINGSTON UPON THAMES,Kingston Upon thames,E05013938,KINGSTON TOWN,KINGSTON TOWN,518306.0,169537.0,518350,169550,51.4125202,-0.300232,London,Kingston,202.0,Kingston,301.0,Surbiton,2.0,2.0,2,60,388,1.0
