stat,borough,distance_stat,pop_per_stat,bor_sqkm,lat,long
Stanmore,Harrow,15941.767603186485,130494,50.47,51.60376,-0.29748
Harrow,Harrow,18990.194902322222,130494,50.47,51.59096,-0.36634
Willesden,Brent,8634.041435717692,112973,43.24,51.54468,-0.23663
Park Royal,Brent,10026.497376766112,112973,43.24,51.53585,-0.26473
Wimbledon,Merton,11296.133801844093,107662,37.61,51.4155428,-0.1975317
Dowgate,City,2602.1246575935143,8618,2.9,51.510003,-0.090206
Dagenham,Barking and Dagenham,20534.625316519363,109267,36.09,51.559507,0.15678
Barking,Barking and Dagenham,15193.759829792516,109267,36.09,51.52982,0.088809
Poplar,Tower Hamlets,7754.7944072924065,62455,19.77,51.51088,-0.015706
Bethnal Green,Tower Hamlets,5710.62499623298,62455,19.77,51.52791,-0.052074
Millwall,Tower Hamlets,7085.781804491156,62455,19.77,51.500806,-0.025725
Whitechapel,Tower Hamlets,4185.566938573565,62455,19.77,51.515125,-0.068433
Shadwell,Tower Hamlets,4981.476274561277,62455,19.77,51.510868,-0.055828
Battersea,Wandsworth,6105.024929730367,109456,34.26,51.4671185,-0.1876668
Wandsworth,Wandsworth,8538.269839100261,109456,34.26,51.4378592,-0.1802274
Tooting,Wandsworth,8131.550209914634,109456,34.26,51.4380528,-0.1654001
Euston,Camden,2299.648379802561,70130,21.8,51.52776,-0.13079
East Ham,Newham,12907.885584948115,116875,36.22,51.523548,0.056981
Plaistow,Newham,11120.328820106488,116875,36.22,51.520068,0.031699
Stratford,Newham,10437.7576427227,116875,36.22,51.54321,0.011631
Peckham,Southwark,5037.216063725273,102125,28.85,51.47405032,-0.07799246
Dockhead,Southwark,3995.727280892831,102125,28.85,51.50061865,-0.07079419
Old Kent Road,Southwark,4356.591980686375,102125,28.85,51.48695786,-0.07366975
Kensington,Kensington and Chelsea,4384.517983460514,47980,12.13,51.5028,-0.1904
North Kensington,Kensington and Chelsea,6264.950872916909,47980,12.13,51.5218389,-0.2148304
Chelsea,Kensington and Chelsea,3854.144421682529,47980,12.13,51.4871072,-0.1728153
Tottenham,Haringey,10266.571281623115,132065,29.59,51.59264,-0.07164
Hornsey,Haringey,8842.858362850997,132065,29.59,51.58665,-0.12698
Shoreditch,Hackney,3690.5814748025655,86652,19.06,51.526625,-0.084321
Stoke Newington,Hackney,7052.842221705138,86652,19.06,51.562056,-0.07653
Homerton,Hackney,7441.716420234339,86652,19.06,51.548634,-0.043184
Soho,Westminster,677.7434404956789,102544,21.48,51.512614,-0.1319784
Paddington,Westminster,4109.333901321731,102544,21.48,51.5202041,-0.183022
Hammersmith,Hammersmith and Fullham,6811.369293067246,91648,16.4,51.4961116,-0.2242032
Fulham,Hammersmith and Fullham,6044.457462088725,91648,16.4,51.4779579,-0.2010297
Islington,Islington,4036.576352007245,108384,14.86,51.539912,-0.102337
Holloway,Islington,6121.146116041655,108384,14.86,51.561766,-0.116461
